Section,Keywords,Category,Description,Action Taken,Similar Case (Judgment),section_desc
IPC Section 1,Indian Penal Code,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1, IPC,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Penal Code,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1, Act,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Legislation,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Statute,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Law,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Indian Law,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Legal Framework,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Criminal Justice,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Penal Provisions,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 1,Legal Provisions,Legal Interpretation,Understanding the scope and applicability of the Indian Penal Code.,"Legal Research, Consultation with Legal Experts","Case: State of Bombay v. Narasu Appa Mali (1952) The IPC applies uniformly across India, but personal laws are not governed by it. This reinforced that IPC is a general law applicable to all unless specific exceptions exist.","This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir."
IPC Section 2,Person,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Legally,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Punishable,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Act,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Bound,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Omission,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Crime,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Offense,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Liability,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
